deal_number_version,unit_id,outlet,daypart,st_id,selling_title,advertiser,deal_name,deal_type,booked_week_monday,week_num,year,quarter,inv_len,inventory_type_code,feature,broadcast_date,actual_air_datetime,adu_ind,count_in_audience_totals,booked_dollars,rc_dollars,posting_status,primary_demo_code,primary_demo_selling_imps_booked,primary_demo_internal_estimates_or_actuals,hh_demo_selling_imps_booked,hh_demo_internal_estimates_or_actuals,a18_49_selling_imps,a18_49_post_internal_estimates_or_actuals,w18_49_selling_imps,w18_49_post_internal_estimates_or_actuals,m18_49_selling_imps,m18_49_post_internal_estimates_or_actuals,k2_11_selling_imps,k2_11_post_post_internal_estimates_or_actuals,p2_plus_selling_imps,p2_plus_post_internal_estimates_or_actuals,data_stream_set,rate_card_name,agency_name_buying,deal_flight_start_date,deal_flight_end_date,isci_code,brand,deal_status,business_date
191297-3,157048386,Galanovelas,FRINGE,16610,Fringe ROS,True Earth Health Products,2024 PLEXADERM UTLN DR,DR-Regular,4/22/24,4,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,04/01/2024,06/30/2024,,Plexaderm,Order,2024-05-01
191297-3,157048389,Galanovelas,FRINGE,16610,Fringe ROS,True Earth Health Products,2024 PLEXADERM UTLN DR,DR-Regular,4/22/24,4,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,04/01/2024,06/30/2024,,Plexaderm,Order,2024-05-01
191297-3,157048388,Galanovelas,FRINGE,16610,Fringe ROS,True Earth Health Products,2024 PLEXADERM UTLN DR,DR-Regular,4/22/24,4,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,04/01/2024,06/30/2024,,Plexaderm,Order,2024-05-01
189985-16,157023480,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,4/29/24,5,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,LegXercise Testimonial Spanish,Order,2024-05-01
189985-16,157021772,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,4/29/24,5,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,Ellipse Deluxe Bundle Spanish,Order,2024-05-01
189985-16,157021761,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,4/22/24,4,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,Ellipse Deluxe Bundle Spanish,Order,2024-05-01
189985-16,157023484,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,4/29/24,5,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,LegXercise Testimonial Spanish,Order,2024-05-01
189985-16,157023493,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,4/29/24,5,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,LegXercise Testimonial Spanish,Order,2024-05-01
189985-16,157023496,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,5/6/24,6,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,LegXercise Testimonial Spanish,Order,2024-05-01
189985-16,157023494,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,5/6/24,6,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,LegXercise Testimonial Spanish,Order,2024-05-01
189985-16,157021785,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,5/6/24,6,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,Ellipse Deluxe Bundle Spanish,Order,2024-05-01
189985-16,157021775,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,4/29/24,5,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,Ellipse Deluxe Bundle Spanish,Order,2024-05-01
189985-16,157021771,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,4/29/24,5,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,Ellipse Deluxe Bundle Spanish,Order,2024-05-01
189985-16,157021770,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,4/29/24,5,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,Ellipse Deluxe Bundle Spanish,Order,2024-05-01
189985-16,157021759,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,4/22/24,4,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,Ellipse Deluxe Bundle Spanish,Order,2024-05-01
189984-12,157024345,Galanovelas,FRINGE,16610,Fringe ROS,"Key Contacts, LLC",2024 KEYCONTACTS UTLN DR,DR-Regular,4/22/24,4,2024,2,60,DR, ,,,N,Y,$8,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,All Types of Accidents Spanish,Order,2024-05-01
189984-12,157024371,Galanovelas,FRINGE,16610,Fringe ROS,"Key Contacts, LLC",2024 KEYCONTACTS UTLN DR,DR-Regular,5/6/24,6,2024,2,60,DR, ,,,N,Y,$8,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,All Types of Accidents Spanish,Order,2024-05-01
189985-16,157023473,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,4/22/24,4,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,LegXercise Testimonial Spanish,Order,2024-05-01
189985-16,157023505,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,5/6/24,6,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,LegXercise Testimonial Spanish,Order,2024-05-01
189985-16,157023466,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,4/22/24,4,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,LegXercise Testimonial Spanish,Order,2024-05-01
189985-16,157021787,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,5/6/24,6,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,Ellipse Deluxe Bundle Spanish,Order,2024-05-01
189985-16,157023481,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,4/29/24,5,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,LegXercise Testimonial Spanish,Order,2024-05-01
189985-16,157023487,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,4/29/24,5,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,LegXercise Testimonial Spanish,Order,2024-05-01
189985-16,157021777,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,4/29/24,5,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,Ellipse Deluxe Bundle Spanish,Order,2024-05-01
189985-16,157021750,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,4/22/24,4,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,Ellipse Deluxe Bundle Spanish,Order,2024-05-01
189985-16,157021789,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,5/6/24,6,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,Ellipse Deluxe Bundle Spanish,Order,2024-05-01
189985-16,157023490,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,4/29/24,5,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,LegXercise Testimonial Spanish,Order,2024-05-01
189985-16,157023465,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,4/22/24,4,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,LegXercise Testimonial Spanish,Order,2024-05-01
189985-16,157023491,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,4/29/24,5,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,LegXercise Testimonial Spanish,Order,2024-05-01
189985-16,157023477,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,4/22/24,4,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,LegXercise Testimonial Spanish,Order,2024-05-01
189985-16,157023501,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,5/6/24,6,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,LegXercise Testimonial Spanish,Order,2024-05-01
189984-12,157024347,Galanovelas,FRINGE,16610,Fringe ROS,"Key Contacts, LLC",2024 KEYCONTACTS UTLN DR,DR-Regular,4/22/24,4,2024,2,60,DR, ,,,N,Y,$8,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,All Types of Accidents Spanish,Order,2024-05-01
189984-12,157024370,Galanovelas,FRINGE,16610,Fringe ROS,"Key Contacts, LLC",2024 KEYCONTACTS UTLN DR,DR-Regular,5/6/24,6,2024,2,60,DR, ,,,N,Y,$8,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,All Types of Accidents Spanish,Order,2024-05-01
189985-16,157021773,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,4/29/24,5,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,Ellipse Deluxe Bundle Spanish,Order,2024-05-01
189985-16,157021766,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,4/29/24,5,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,Ellipse Deluxe Bundle Spanish,Order,2024-05-01
189985-16,157023470,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,4/22/24,4,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,LegXercise Testimonial Spanish,Order,2024-05-01
189985-16,157021764,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,4/29/24,5,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,Ellipse Deluxe Bundle Spanish,Order,2024-05-01
189985-16,157021769,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,4/29/24,5,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,Ellipse Deluxe Bundle Spanish,Order,2024-05-01
189985-16,157023504,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,5/6/24,6,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,LegXercise Testimonial Spanish,Order,2024-05-01
189985-16,157021786,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,5/6/24,6,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,Ellipse Deluxe Bundle Spanish,Order,2024-05-01
189984-12,157024346,Galanovelas,FRINGE,16610,Fringe ROS,"Key Contacts, LLC",2024 KEYCONTACTS UTLN DR,DR-Regular,4/22/24,4,2024,2,60,DR, ,,,N,Y,$8,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,All Types of Accidents Spanish,Order,2024-05-01
189984-12,157232071,Galanovelas,FRINGE,16610,Fringe ROS,"Key Contacts, LLC",2024 KEYCONTACTS UTLN DR,DR-Regular,5/6/24,6,2024,2,60,DR, ,,,N,Y,$8,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,All Types of Accidents MVA Spanish,Order,2024-05-01
189984-12,157024359,Galanovelas,FRINGE,16610,Fringe ROS,"Key Contacts, LLC",2024 KEYCONTACTS UTLN DR,DR-Regular,4/29/24,5,2024,2,60,DR, ,,,N,Y,$8,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,All Types of Accidents Spanish,Order,2024-05-01
189984-12,157024350,Galanovelas,FRINGE,16610,Fringe ROS,"Key Contacts, LLC",2024 KEYCONTACTS UTLN DR,DR-Regular,4/22/24,4,2024,2,60,DR, ,,,N,Y,$8,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,All Types of Accidents Spanish,Order,2024-05-01
189985-16,157023482,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,4/29/24,5,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,LegXercise Testimonial Spanish,Order,2024-05-01
189985-16,157023486,Galanovelas,FRINGE,16610,Fringe ROS,"IntelliBrands, LLC",2024 INTELLIBRANDS UTLN DR,DR-Regular,4/29/24,5,2024,2,60,DR, ,,,N,Y,$6,$26,IE,HH,"4,198","4,212","4,198","4,212","2,634","2,664","1,752","1,768",882,896,760,772,"5,332","5,394",Program Live+SD,2023-2024 Upfront Ratecard,Pro Media Group,01/01/2024,06/30/2024,,LegXercise Testimonial Spanish,Order,2024-05-01
